TODO | THEME | SLUG | MOT-CLE PRINCIPAL | ANGLE | OBJECTIONS PRINCIPALES
EDOF/CPF : INTENTIONS “ACCÉDER / S’INSCRIRE / RÉFÉRENCER / PUBLIER / ÊTRE CONFORME”

TODO | EDOF | inscription-edof | inscription EDOF | étape par étape | blocages, justificatifs
TODO | EDOF | creer-compte-edof | créer compte EDOF | parcours d’ouverture | délais, pièces, validation
TODO | EDOF | demande-acces-edof | demande accès EDOF | check-list avant dépôt | incomplet, rejets
TODO | EDOF | delai-acces-edof | délai accès EDOF | planifier et anticiper | attente, relances
TODO | EDOF | conditions-acces-edof | conditions accès EDOF | prérequis clairs | NDA, Qualiopi, BPF, capacité
TODO | CPF | publier-offre-cpf | publier une offre CPF | process publication | qualité, conformité, délais
TODO | CPF | catalogue-cpf | catalogue CPF | structurer son catalogue | lisibilité, conversion
TODO | CPF | edof-parametrage | paramétrage EDOF | config compte + rôles | erreurs, droits
TODO | CPF | edof-sessions | créer une session CPF | sessions et dates | délais, règles
TODO | CPF | edof-prix | prix formation CPF | structurer prix | cohérence, contrôles
TODO | CPF | edof-documents | documents EDOF | pièces et justificatifs | confusion, oublis
TODO | CPF | edof-refus | refus EDOF | comprendre et corriger | motifs, plan correctif
TODO | CPF | edof-blocage | compte EDOF bloqué | débloquer proprement | causes, preuves
TODO | CPF | edof-dereferencement | déréférencement CPF | éviter sanctions | conformité, preuves
TODO | CPF | conformite-cpf | conformité CPF | se mettre en conformité | contrôles, traçabilité
TODO | CPF | cgu-cpf-organisme | CGU CPF organisme | obligations clés | délais, process
TODO | CPF | delai-11-jours-cpf | délai 11 jours ouvrés CPF | sécuriser la planification | calendrier, sessions
TODO | CPF | qualio pi-et-cpf | qualiopi et CPF | lien et prérequis | ordre des étapes, délais
TODO | CPF | nda-et-cpf | NDA et CPF | étapes administratives | calendrier, pièces
TODO | CPF | edof-habilitation | habilitation certification | prouver l’éligibilité | RS/RNCP, preuves
TODO | CPF | rs-rncp-et-cpf | RS RNCP CPF | comprendre l’éligibilité | choix certification, stratégie
TODO | CPF | edof-sous-traitance | sous-traitance CPF | sécuriser la sous-traitance | risques, conformité
TODO | CPF | edof-qualite | qualité sur CPF | éviter avis négatifs | expérience apprenant
TODO | CPF | edof-annulation | annulation CPF | gérer annulations | règles, preuves
TODO | CPF | edof-remboursement | remboursement CPF | process et justificatifs | litiges, conformité
TODO | CPF | edof-financement | financement CPF | comprendre le parcours | délais, étapes
TODO | CPF | edof-facturation | facturation CPF | préparer la facturation | erreurs, justificatifs
TODO | CPF | edof-controle | contrôle Caisse des Dépôts | se préparer | preuves, traçabilité
TODO | CPF | edof-preuves | preuves CPF | constituer un dossier preuves | audits, contrôles
TODO | CPF | edof-amelioration | amélioration continue CPF | process qualité | indicateurs, actions

PAGES HYBRIDES “PACK” (TRÈS CONVERSION)
TODO | PACK | pack-of-cpf | organisme de formation CPF | accès CPF + offre | éligibilité, conformité
TODO | PACK | pack-rs-rncp-cpf | RS RNCP CPF | stratégie certification | choix, délais, coûts
TODO | PACK | pack-surveillance-renouvellement | surveillance renouvellement qualiopi | maintien + renouvellement | échéances, charge, preuves
